DIVRE,COVERAGE
PUSAT,PUSAT
I,"NAD,SUMUT"
II,"RIAU,KEPRI,SUMBAR,JAMBI"
III,"SUMSEL, BABEL,BENGKULU,LAMPUNG"
IV,"DKI,BANTEN,KALBAR"
V,JABAR
VI,"JATENG,DIY"
VII,JATIM
VIII,"KALTIM,KALSEL,KALTENG"
IX,"SULSEL,SULBAR,SULTENG"
X,"SULUT,GORONTALO,SULTENG,MALUT"
XI,"BALI,NTB,NTT"
XII,"MALUKU,PAPUA"
