Branch,JAKARTA TIMUR ,"Jl. Balai Pustaka Timur No. 39 Blok B-10 Rawamangun, Jakarta Timur",JAKARTA TIMUR ,13450,(021) 47862347,(021) 47869778,0812 8415149
Branch,JAKARTA BARAT ,"Jl. Palmerah Barat 353 Blok B No.4, Komplek Kampus Widuri, Jakarta Barat",JAKARTA BARAT ,11220,(021) 5322630,,0812 8415124
Branch,JAKARTA UTARA ,"Jl. Boulevard Artha Gading Komplek Ruko Wilkon Gading Kirana Blok A7 B/23-25, Jakarta Utara",JAKARTA UTARA ,14310,(021) 45857836,(021) 45850850,0812 8571582
Branch,TANGERANG ,Jl. Perintis Kemerdekaan II No.2 Cikokol Tanggerang,TANGERANG ,15118,(021) 5527163,(021) 5532709,0812 8582704
Branch,PONTIANAK ,"Jl. Sultan A. Rachman No.135, Pontianak",PONTIANAK ,78010,(0561) 733076,,0813 45173858
Branch,SINGKAWANG ,Jl. Firdaus H. Rais No.58 Singkawang,SINGKAWANG ,79123,(0562) 631992,,0812 9949417
Branch,SINTANG ,"Jl.PKP Mujahidin Lingkar Tugu BI No. 8, Sintang",SINTANG ,78612,(0565) 22076,,0812 5722154
Branch,SERANG ,Jl. Raya Serang - Pandeglang KM 3 (Depan BBLKI) Karundang Kota Serang,SERANG ,,(0254) 229114 ,,0811 1221070
Branch,KHUSUS,"Jl.Letjend.Suprapto,Cempaka Putih, Jakarta Pusat ",JAKARTA PUSAT ,10510,(021) 4212938,,0813 83790900
Divre,V,"Jl. Dr. Djundjunan No.144 PO BOX 1617, Bandung",BANDUNG,40163,(022) 2005892,(022) 2013174,
Branch,BANDUNG ,"Jl. Pelajar Pejuang 45 No.66, Bandung",BANDUNG,40263,(022) 7317058,(022) 7315572,0812 20444445
Branch,BOGOR,Jl. A Yani No.62 E Bogor,BOGOR,,(0251) 8356538,(0251) 8356539,0812 8582703
Branch,SUKABUMI,"Jl. Siliwangi No. 120-122, Sukabumi",SUKABUMI,,(0266) 218650,,0815 6309037
Branch,KARAWANG,Jl. Jend A. Yani No.85 (by pass) Karawang ,KARAWANG,41315,(0267) 402573,(0267) 416206,0813 1558890
Branch,SUMEDANG,Jl. R.A. Kartini No 07 Sumedang ,SUMEDANG,,(0261) 203580 ,,0811 2200329
Branch,CIREBON ,"Jl. DR. Sudarsono No.43 Kotak Pos 119, Cirebon ",CIREBON ,45134,(0231) 206097,,0818 417261
Branch,TASIKMALAYA,Jl. Tanuwijaya No. 9 Tasikmalaya,TASIKMALAYA,46113,(0265) 332314,,0812 2168475
Branch,BEKASI,Jl. A Yani (Ruko Bekasi Mas Blok C No.2) Bekasi ,BEKASI,17141,(021) 8847071,,0812 8582705
Branch,SOREANG ,"Jl. Terusan Alfathu No.6, Soreang, Kabupaten Bandung",SOREANG ,,(022) 88886276,(022) 88886277,0811 2001504
Divre,VI,Jl. Teuku Umar no.43 Semarang,SEMARANG,,(024) 8501429,(024) 8501430,
Branch,SEMARANG ,Jl. Sultan Agung no. 144 Semarang,SEMARANG,,(024) 8447698,,0815 6579791
