Branch,Kabupaten,Type,Name,Address,Telephone,Class,Kecamatan,Lat,Long
GORONTALO,GORONTALO,P1,PKM Paguyaman Pantai,Desa Bubaa,081356426274,,,,
GORONTALO,GORONTALO,P1,PKM Paguyaman,Jl. Trans Sulawesi ,081340277558,,,,
GORONTALO,GORONTALO,P1,PKM Berlian,Jl. Rajawali,085256090951,,,,
GORONTALO,GORONTALO,P1,PKM Bongo Nol,Jl. Trans Sulawesi No. 106,085240041449,,,,
GORONTALO,GORONTALO,P1,PKM Bongo II,Jl. Trans Desa Bongo II,081244692244,,,,
GORONTALO,GORONTALO,P1,PKM Sari Tani,PPK Kompleks Kantor,085397329501,,,,
GORONTALO,GORONTALO,P1,PKM Pangi,Jl. Trans Sulawesi,085289992079/081219461507,,,,
GORONTALO,GORONTALO,P1,PKM Dulupi,Desa Dulupi,081356422127,,,,
GORONTALO,GORONTALO,P1,PKM Tilamuta,Jl. Abas Machmud,085299523435,,,,
GORONTALO,GORONTALO,P1,PKM Botumoito,Jl. Trans Sulawesi No. 79,081244320144,,,,
GORONTALO,GORONTALO,P1,PKM Mananggu,Pelabuhan Etalase Perikanan,085397461608,,,,
GORONTALO,GORONTALO,P1,PKM Limboto,Jl. Tilongkabila,085298285855,,,,
GORONTALO,GORONTALO,P1,PKM Limboto Barat,Jl. Trans Sulawesi,085256560774,,,,
GORONTALO,GORONTALO,P1,PKM Telaga Biru,Jl. Limboto Raya,08124427545,,,,
GORONTALO,GORONTALO,P1,PKM Telaga,Ds. Limboto Raya,085256117255,,,,
GORONTALO,GORONTALO,P1,PKM Pilohayanga,Ds. Pilohayanga,081340565121,,,,
GORONTALO,GORONTALO,P1,PKM Tilango,Ds. Tilote,081340708504,,,,
GORONTALO,GORONTALO,P1,PKM Telaga Jaya,Ds. Hutadaa,085397914100,,,,
GORONTALO,GORONTALO,P1,PKM Batudaa Pantai,Jl. Trans Sulawesi,081340122467,,,,
GORONTALO,GORONTALO,P1,PKM Biluhu,Jl. Buke Panai,081340133767,,,,
GORONTALO,GORONTALO,P1,PKM Batudaa,Ds. Payunga,08124410497,,,,
GORONTALO,GORONTALO,P1,PKM Tabongo,Jl. Raja Bobihu,082195384828,,,,
GORONTALO,GORONTALO,P1,PKM Dungaliyo,Ds. Kaliyoso,085257285474,,,,
GORONTALO,GORONTALO,P1,PKM Molopatodu,Ds. Molopatodu,085241161411,,,,
GORONTALO,GORONTALO,P1,PKM Tibawa,Ds. Isimu Selatan,085240180098,,,,
GORONTALO,GORONTALO,P1,PKM Buhu,Ds. Buhu,085240579801,,,,
GORONTALO,GORONTALO,P1,PKM Pulubala,Ds. Pongongaila,085215066716,,,,
GORONTALO,GORONTALO,P1,PKM Boliyohuto,Ds. Sidomulyo,081244264695,,,,
GORONTALO,GORONTALO,P1,PKM Bilato,Ds. Bilato,085256202100,,,,
GORONTALO,GORONTALO,P1,PKM Mootilango,Ds. Paris,085282451198,,,,
GORONTALO,GORONTALO,P1,PKM Tolangohula,Ds. Sukamakmur,081386319134,,,,
GORONTALO,GORONTALO,P1,PKM Asparaga,Ds. Bululi,085256803947,,,,
GORONTALO,GORONTALO,P1,PKM Suwawa,Jl. Nani Wartabone,085298145444,,,,
GORONTALO,GORONTALO,P1,PKM Kabila,Jl. Suwawa Besar,085256743133,,,,
GORONTALO,GORONTALO,P1,PKM Toto Utara,Jl. Toto Tengah,085240478284,,,,
GORONTALO,GORONTALO,P1,PKM Tapa,Jl. Irigasi Lomaya,085298439523,,,,
GORONTALO,GORONTALO,P1,PKM Bonepantai,Jl. Brawijaya ,085256239300,,,,
GORONTALO,GORONTALO,P1,PKM Dumbayabulan,Jl. Pasar Bersemi,085240868985,,,,
GORONTALO,GORONTALO,P1,PKM Tombulilato,Jl. Trans Sulawesi,085240842565,,,,
GORONTALO,GORONTALO,P1,PKM Bulango,Desa Boidu,085256854155,,,,
GORONTALO,GORONTALO,P1,PKM Botupingge,Jl. Sapta Marga,085298414655,,,,
GORONTALO,GORONTALO,P1,PKM Kabila Bone,Jl. Trans Sulawesi,08124465496,,,,
GORONTALO,GORONTALO,P1,PKM Bone,Desa Taludaa,085298615722,,,,
GORONTALO,GORONTALO,P1,PKM Tilongkabila,Jl. LPMP,085393941222,,,,
GORONTALO,GORONTALO,P1,PKM Suwawa Tengah,Jl. Pasar Minggu,085298637675,,,,
GORONTALO,GORONTALO,P1,PKM Suwawa Selatan,Desa Molintogupo,085256488319,,,,
GORONTALO,GORONTALO,P1,PKM Bulango Timur,Desa Bulotalangi,082188655335,,,,
GORONTALO,GORONTALO,P1,PKM Bulango Selatan,Jl. Taib Gobel,081244696630,,,,
GORONTALO,GORONTALO,P1,PKM Bulango Ulu,Jl. Pilolaleya,085298150745,,,,
GORONTALO,GORONTALO,P1,PKM Bulawa,Jl. Trans Sulawesi,085298791828,,,,
GORONTALO,GORONTALO,P1,PKM Pinogu,Desa Pinogu,085256614449,,,,
